station_id,ogs1_lon,ogs1_lat,ogs2_lon,ogs2_lat,availability,meets_threshold
1,-73.970187,41.331642,-73.970187,40.776642,0.375,False
2,-118.261862,34.196398,-117.5904258330612,34.196398,0.9722222222222222,True
3,-94.75268663586394,30.412273,-94.75268663586394,29.302273,0.5555555555555556,False
4,-86.89938848873336,41.894294,-86.89938848873336,42.449294,0.5555555555555556,False
5,-121.01209471748942,47.490552,-121.01209471748942,46.935552,0.5555555555555556,False
6,-121.68954,37.776614,-121.68954,37.221614,0.8611111111111112,True
7,-112.49893,33.345176,-111.8341314863521,33.345176,0.9583333333333334,True
8,-96.11797724440218,33.321987,-97.43887075559782,33.321987,0.5555555555555556,False
9,-117.777207,34.230687,-118.44454964441798,34.230687,0.9722222222222222,True
10,-116.776117,33.023604,-116.11375418360474,33.023604,1.0,True
11,-122.97439,38.547429,-122.26970645365381,38.547429,0.8611111111111112,True
12,-81.11964030865153,25.061009,-81.11964030865153,25.616009,0.9444444444444444,True
13,-83.7999494335591,33.235034,-83.7999494335591,34.345034,0.7083333333333333,False
14,-71.394916,43.036718,-70.64188426213515,42.481718,0.5,False
15,-121.67233391304642,37.969672,-122.371546,37.414672,0.8611111111111112,True
16,-98.33409640427605,30.239513,-97.69127,30.794513,0.6597222222222221,False
17,-115.70272901334987,36.21413,-115.014398,35.65913,0.9166666666666666,True
18,-94.26070324838128,45.006121,-93.475228,44.451121,0.4375,False
19,-70.26693807587255,42.893551,-71.76956792412746,42.338551,0.5,False
20,-80.833832,34.691862,-81.51385377679895,34.691862,0.6597222222222221,False
21,-77.016517,38.349247,-77.73016125923398,39.459247,0.4375,False
22,-121.912488,37.647139,-121.21109322848062,37.647139,0.8611111111111112,True
23,-97.95170883592526,32.772119,-97.95170883592526,33.327119,0.75,True
24,-81.0955958183561,25.638535,-81.0955958183561,26.193535,0.8333333333333334,True
25,-81.323284,27.959391,-80.69126251150108,29.069391,0.8888888888888888,True
26,-98.520147,30.003671,-99.15790282748623,30.003671,0.6597222222222221,False
27,-112.65641629430809,41.222883,-111.19206370569191,40.667883,0.875,True
28,-83.00834809912443,27.893154,-83.00834809912443,27.338154,0.8611111111111112,True
29,-73.95064,41.190045,-73.95064,40.635045,0.375,False
30,-82.62901726109823,42.105452,-83.38421,42.660452,0.6666666666666667,False
31,-73.841209,41.209658,-73.841209,40.654658,0.375,False
32,-82.28444043624323,39.969875,-82.28444043624323,40.524875,0.4375,False
33,-81.06971692192045,27.204126,-81.06971692192045,26.649126,0.9166666666666667,True
34,-72.692218,40.943554,-71.95699398397574,40.943554,0.23611111111111116,False
35,-116.181571,34.856661,-115.50479049575645,34.856661,0.8958333333333334,True
36,-81.604957,41.555037,-80.86281945412378,41.555037,0.4444444444444444,False
37,-85.41312053904267,39.227976,-86.135794,39.782976,0.375,False
38,-120.63519818413765,39.005136,-120.63519818413765,38.450136,0.8611111111111112,True
39,-75.133346,40.009376,-74.40828126592005,40.009376,0.15972222222222232,False
40,-116.67000237740322,33.174828,-116.67000237740322,33.729828,1.0,True
